Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"15180 aluminum profile 200x180mm","the bed",1,4.00,"","future"
"GT2 pulley 16T Bore 5mm height 10mm","the belt will rotate along it",4,1.00,"","future"
"Timing Belt Tensioner Spring","Tensioner the Timing Belt ",2,0.30,"","future"
"Bearings lm6uu","move along chrome palte",4,2.00,"https://uge-one.com/product/3d-printer-lm6uu-6mm-linear-ball-bearing/","UGE"
"Chrome Plated Rods 6x100mm, 6x180mm","guide the axes",1,3.00,"","future"
"Threaded Rods M3x100mm","direct the axes",1,2.00,"","ampere"
"Mechanical endstop","home the head",3,1.40,"https://ampere-electronics.com/product/mechanical-endstop-limit-switch-module-for-3d-printer/","ampere"
"ESC Skywalker 40A V2 UBEC 3-4S","brushless motor driver",1,15.76,"https://store.fut-electronics.com/products/esc-skywalker-40a-v2-ubec-3-4s","ESC Skywalker"
"jumpers","connect pins",10,1.00,"","ram"
"some het shrink","keep the wires safe",10,1.00,"","makers"
"zip ties","organize wiers",1,2.50,"https://www.amazon.eg/-/en/Oksdown-Premium-Plastic-Assorted-Management/dp/B092SKQMZV?pd_rd_w=Avw52&content-id=amzn1.sym.a0561336-0ffa-48fc-8df8-e4c564d9d067&pf_rd_p=a0561336-0ffa-48fc-8df8-e4c564d9d067&pf_rd_r=DSEH42CYPS7CZ53P4RF2&pd_rd_wg=jzlbw&pd_rd_r=55421de6-7942-4de2-b057-a3094c44a4d8&pd_rd_i=B092SKQMZV&th=1","amazon"
"12V brushless 40x40x10mm fan","cool down the system",1,2.00,"https://fluxelectronix.com/shop/4010-cooling-fan-12vdc-40x40x10mm/","flux"
"power supply","power",1,12.00,"https://makerselectronics.com/product/power-supply-12v-30a/","makers"
"Cable Drag Chain","hold caples toggizer",1,15.00,"https://ampere-electronics.com/product/cable-drag-chain-1520mm/","ampere"
"brushless motor","move the bits to engrave copper",1,16.17,"https://store.fut-electronics.com/products/brushless-motor-2450-kv-copy","future"
"NEMA 11 Stepper Motor","motors for x and y",2,41.85,"https://makerselectronics.com/product/nema-11-stepper-motor-28bygh50/","makers"
"MGN9H Linear Bearing Block","move things",2,19.20,"https://ampere-electronics.com/product/mgn9h-linear-bearing-block/","ampere"
"GT2 Timing Belt","motion system",3,3.71,"https://store.fut-electronics.com/products/gt2-timing-belt-select-length?variant=1016429487","future electroincs"
"T-slot nut","hold everything",50,4.76,"https://store.fut-electronics.com/products/t-nut-for-v-slot-aluminum-bar?variant=2143421059","future"
"2020 aluminum extrusion - 75mm","body",4,4.00,"https://store.fut-electronics.com/products/v-slot-20mm-x-20mm-linear-rail-1m-black-anodized?variant=1358669571","made in china"
"2020 aluminum extrusion - 220mm","boudy",4,4.76,"https://store.fut-electronics.com/products/v-slot-20mm-x-20mm-linear-rail-1m-black-anodized?variant=1358669571","made in china"
